CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;27;45.5720045463333;-73.6574328377394;453
Méfait;2018-03-22;jour;27;45.5713154786833;-73.6470995189936;454
Vol dans / sur véhicule à moteur;2018-03-22;jour;27;45.5532212176549;-73.6495182958912;455
Introduction;2018-03-23;jour;27;45.5523442801633;-73.6739101914563;456
Méfait;2018-03-23;jour;27;45.5715535807688;-73.6401519701413;457
Méfait;2018-03-23;jour;27;45.558451913074;-73.6327821608615;458
Introduction;2018-03-24;soir;27;45.5554259005795;-73.6373891973335;459
Introduction;2018-03-25;jour;27;45.5460889315987;-73.6604224843987;460
Méfait;2018-03-25;jour;27;45.5503066806674;-73.6708169826646;461
Introduction;2018-03-26;nuit;27;45.5375272899026;-73.6552574624983;462
Méfait;2018-03-26;soir;27;45.5494017947503;-73.6713651888832;463
Méfait;2018-03-26;jour;27;45.5534065901365;-73.661917283378;464
Vol de véhicule à moteur;2018-03-26;nuit;27;45.5724058539775;-73.6422219947546;465
