CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;soir;22;45.5238936933037;-73.5575097393754;408
Introduction;2018-03-22;jour;22;45.5202379985373;-73.5516433058928;409
Introduction;2018-03-22;jour;22;45.5253506181069;-73.5647505732287;410
Vol dans / sur véhicule à moteur;2018-03-22;nuit;22;45.5164786339348;-73.5549071438202;411
Méfait;2018-03-23;jour;22;45.5174573648687;-73.5570712397007;412
Vols qualifiés;2018-03-24;jour;22;45.5224859365535;-73.5565046841496;413
Introduction;2018-03-25;nuit;22;45.5253506181069;-73.5647505732287;414
Méfait;2018-03-25;jour;22;45.5301176506405;-73.5544550607186;415
Méfait;2018-03-26;jour;22;45.5340150855638;-73.5568365741247;416
Vol dans / sur véhicule à moteur;2018-03-26;jour;22;45.5214411855814;-73.549877740292;417
