CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;31;45.5549243460838;-73.6105531266798;479
Méfait;2018-03-22;jour;31;45.5347392768581;-73.6182457230974;480
Vol dans / sur véhicule à moteur;2018-03-23;nuit;31;45.5469586179607;-73.6104761677533;481
Vol dans / sur véhicule à moteur;2018-03-23;jour;31;45.5432257522938;-73.6161306006104;482
Introduction;2018-03-24;jour;31;45.5481088526582;-73.6019182054264;483
Introduction;2018-03-24;jour;31;45.5508823835293;-73.5995469832002;484
Méfait;2018-03-25;jour;31;45.5532295263067;-73.6190145835717;485
Méfait;2018-03-26;jour;31;45.5428895384261;-73.6404988972863;486
Méfait;2018-03-26;soir;31;45.5526191990885;-73.6195708447118;487
