CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-23;jour;5;45.4459726839572;-73.7239295068569;624
Méfait;2018-03-23;jour;5;45.4663927646669;-73.8279130981457;625
Méfait;2018-03-23;jour;5;45.4349255759012;-73.8109993424607;626
Vol dans / sur véhicule à moteur;2018-03-23;soir;5;45.4827987784001;-73.7882542749925;627
Vol dans / sur véhicule à moteur;2018-03-23;soir;5;45.4700039122407;-73.7128703212388;628
Vol de véhicule à moteur;2018-03-23;soir;5;45.4556319202307;-73.7323160098665;629
Introduction;2018-03-24;soir;5;45.4823966108073;-73.7875327575117;630
Vol dans / sur véhicule à moteur;2018-03-24;soir;5;45.4625627564722;-73.8292167425863;631
Vol de véhicule à moteur;2018-03-24;jour;5;45.4495499522697;-73.7425034542873;632
Méfait;2018-03-26;soir;5;45.4390291701738;-73.8270839714686;633
Vol dans / sur véhicule à moteur;2018-03-26;soir;5;45.4625627564722;-73.8292167425863;634
Vol de véhicule à moteur;2018-03-23;soir;55;45.4562394884345;-73.7472848607821;635
