CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;39;45.6037165906043;-73.6334866456867;516
Introduction;2018-03-22;soir;39;45.5867185410152;-73.6361791785137;517
Méfait;2018-03-22;nuit;39;45.6028572882727;-73.6373008660932;518
Introduction;2018-03-23;soir;39;45.6082482733319;-73.6203900814964;519
Introduction;2018-03-23;jour;39;45.6055067986602;-73.6236502228956;520
Méfait;2018-03-23;soir;39;1;1;521
Vols qualifiés;2018-03-23;soir;39;45.588228397483;-73.6346260056554;522
Vols qualifiés;2018-03-23;soir;39;45.588228397483;-73.6346260056554;523
Vol dans / sur véhicule à moteur;2018-03-24;soir;39;45.5852684753609;-73.6346293362474;524
Vol de véhicule à moteur;2018-03-24;jour;39;45.5964861702234;-73.6216735326767;525
Vol de véhicule à moteur;2018-03-24;jour;39;45.5826743980832;-73.6395496063943;526
Introduction;2018-03-25;nuit;39;45.5811082505522;-73.6410891805176;527
Introduction;2018-03-25;jour;39;45.5906260983131;-73.6277967417686;528
Méfait;2018-03-25;jour;39;45.6043132622108;-73.6187363509765;529
Introduction;2018-03-26;jour;39;45.6094639032806;-73.6114691963937;530
Introduction;2018-03-26;jour;39;45.6109492410005;-73.6232132902939;531
Méfait;2018-03-26;jour;39;45.5852684753609;-73.6346293362474;532
Méfait;2018-03-26;soir;39;45.5826743980832;-73.6395496063943;533
Vol de véhicule à moteur;2018-03-26;nuit;39;45.5973579012995;-73.6421128828207;534
Vol de véhicule à moteur;2018-03-26;jour;39;45.5920687640598;-73.6406139927158;535
Vol de véhicule à moteur;2018-03-26;soir;39;1;1;536
