CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;8;45.4419825757744;-73.6684957319394;311
Méfait;2018-03-22;jour;8;1;1;312
Méfait;2018-03-22;jour;8;45.4419729965479;-73.6748691019431;313
Vol de véhicule à moteur;2018-03-22;soir;8;45.45623636068;-73.7198721352281;314
Introduction;2018-03-23;soir;8;45.4385910864403;-73.6934504387016;315
Méfait;2018-03-25;jour;8;45.4459426566505;-73.6769395321579;316
Méfait;2018-03-25;jour;8;1;1;317
Méfait;2018-03-25;jour;8;45.4348956586579;-73.6688832411123;318
Méfait;2018-03-26;jour;8;45.4331607989583;-73.6676215525151;319
Vol dans / sur véhicule à moteur;2018-03-26;jour;8;45.444954382683;-73.6759273455381;320
Vol de véhicule à moteur;2018-03-26;jour;8;45.4437455313208;-73.7169446917986;321
