CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;49;45.6380095914874;-73.4937627673995;607
Méfait;2018-03-22;soir;49;45.6633677310282;-73.505586577138;608
Méfait;2018-03-22;soir;49;45.6454200929407;-73.4893524747665;609
Méfait;2018-03-22;soir;49;45.6505097519778;-73.4963693017676;610
Vol de véhicule à moteur;2018-03-22;nuit;49;45.6329187858315;-73.4942958838582;611
Introduction;2018-03-23;nuit;49;1;1;612
Méfait;2018-03-23;jour;49;45.6454200929407;-73.4893524747665;613
Méfait;2018-03-23;soir;49;45.6315900969574;-73.504066566049;614
Vol de véhicule à moteur;2018-03-23;nuit;49;45.639267587816;-73.5102228205619;615
Vol dans / sur véhicule à moteur;2018-03-24;jour;49;45.6350960394313;-73.5028680349153;616
Introduction;2018-03-25;jour;49;45.6515560875945;-73.5023094852972;617
Méfait;2018-03-26;soir;49;45.663577808495;-73.506953448999;618
Méfait;2018-03-26;jour;49;45.6469698904726;-73.5126679177925;619
Méfait;2018-03-26;soir;49;45.6664417398308;-73.494383561093;620
Méfait;2018-03-26;jour;49;45.691855379334;-73.4886567259306;621
Vol de véhicule à moteur;2018-03-26;nuit;49;45.6376141083349;-73.4913734471036;622
Vol de véhicule à moteur;2018-03-26;nuit;49;45.6297475797565;-73.5009861544241;623
