CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-22;jour;20;45.4965498247941;-73.5763320381455;387
Vol dans / sur véhicule à moteur;2018-03-22;soir;20;45.500741119892;-73.5652954801729;388
Vol dans / sur véhicule à moteur;2018-03-22;jour;20;45.5011735635979;-73.5661610240371;389
Méfait;2018-03-23;soir;20;45.4958811095993;-73.5731349863126;390
Méfait;2018-03-23;jour;20;45.5095877102506;-73.5913435069204;391
Vol dans / sur véhicule à moteur;2018-03-23;jour;20;45.507550284165;-73.570314511571;392
Vol dans / sur véhicule à moteur;2018-03-23;soir;20;45.505373642249;-73.5677447968167;393
Vol dans / sur véhicule à moteur;2018-03-23;soir;20;45.4933033104658;-73.5574318201936;394
Vol dans / sur véhicule à moteur;2018-03-23;nuit;20;45.504226659485;-73.5653788496505;395
Vol de véhicule à moteur;2018-03-23;soir;20;45.4958933788039;-73.5603274644425;396
Introduction;2018-03-24;soir;20;1;1;397
Introduction;2018-03-24;soir;20;45.4966795454747;-73.5787851389051;398
Vol dans / sur véhicule à moteur;2018-03-24;jour;20;45.497963900133;-73.5803761831983;399
Vol dans / sur véhicule à moteur;2018-03-24;jour;20;45.500741119892;-73.5652954801729;400
Introduction;2018-03-25;jour;20;45.4965883311579;-73.5700365977447;401
Méfait;2018-03-25;nuit;20;45.498017738165;-73.5708894312731;402
Méfait;2018-03-25;soir;20;45.5014366344461;-73.5700858287485;403
Vol dans / sur véhicule à moteur;2018-03-25;jour;20;45.4995332523524;-73.5761503004438;404
Introduction;2018-03-26;soir;20;45.4974014869094;-73.5780824053483;405
Vol dans / sur véhicule à moteur;2018-03-26;soir;20;45.4991112742126;-73.5625531618869;406
Vol dans / sur véhicule à moteur;2018-03-26;jour;20;45.4995332523524;-73.5761503004438;407
