CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;jour;13;45.4294798397022;-73.5932435033285;349
Méfait;2018-03-24;soir;13;45.431026120707;-73.635206065688;350
Vol dans / sur véhicule à moteur;2018-03-25;soir;13;45.4439387454457;-73.6147183860688;351
Méfait;2018-03-26;soir;13;45.4215058622684;-73.6350364047562;352
Méfait;2018-03-26;soir;13;45.4205415930018;-73.6301634766661;353
Méfait;2018-03-26;soir;13;45.4227438642496;-73.6404552897756;354
Méfait;2018-03-26;soir;13;45.4290163110084;-73.5985543767199;355
Méfait;2018-03-26;jour;13;45.4311987258145;-73.6189096794597;356
Méfait;2018-03-26;soir;13;45.4361094108502;-73.6240939744545;357
Vol dans / sur véhicule à moteur;2018-03-26;jour;13;45.4425741470395;-73.616997517407;358
Vol de véhicule à moteur;2018-03-26;jour;13;45.4425741470395;-73.616997517407;359
Vol de véhicule à moteur;2018-03-26;soir;13;45.4288766413714;-73.60911993585;360
