CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol de véhicule à moteur;2018-03-22;jour;35;45.5499058562515;-73.5955840227338;490
Introduction;2018-03-23;soir;35;45.5458950682346;-73.5989900588312;491
Vol dans / sur véhicule à moteur;2018-03-24;jour;35;45.5361264000433;-73.6030713681144;492
Introduction;2018-03-25;soir;35;45.5319379377685;-73.6122690474386;493
Introduction;2018-03-25;nuit;35;45.54296547012;-73.6017355106772;494
Introduction;2018-03-26;nuit;35;45.533341884537;-73.6133342435403;495
Introduction;2018-03-26;nuit;35;45.5443088899392;-73.5955565578499;496
Méfait;2018-03-26;jour;35;45.5416853763485;-73.6126523860791;497
Vol dans / sur véhicule à moteur;2018-03-26;jour;35;45.5430560781947;-73.6065194858995;498
