CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol de véhicule à moteur;2018-03-22;nuit;23;45.5658142634998;-73.5540091090199;418
Introduction;2018-03-23;soir;23;45.5506708652385;-73.5492853250893;419
Vol de véhicule à moteur;2018-03-23;soir;23;45.5559042187588;-73.5503518562359;420
Introduction;2018-03-24;soir;23;45.5468201845425;-73.5514181965384;421
Introduction;2018-03-24;soir;23;45.5405961470788;-73.5516834527632;422
Méfait;2018-03-24;nuit;23;45.5525127853902;-73.5397939779321;423
Introduction;2018-03-25;jour;23;45.5442862243073;-73.5453271126079;424
Introduction;2018-03-25;soir;23;45.5422161581248;-73.5542670512514;425
Méfait;2018-03-25;jour;23;45.5602707534847;-73.5322646655998;426
Méfait;2018-03-25;jour;23;45.5602707534847;-73.5322646655998;427
Méfait;2018-03-25;jour;23;45.5413369421469;-73.5380930868663;428
Méfait;2018-03-25;jour;23;45.5599152527042;-73.5324988753382;429
Introduction;2018-03-26;soir;23;45.5578137401435;-73.5338746675954;430
Introduction;2018-03-26;nuit;23;45.5424039211923;-73.5441496344803;431
Méfait;2018-03-26;jour;23;45.5479399335961;-73.5430091736739;432
Méfait;2018-03-26;jour;23;45.5515485637578;-73.5380876508096;433
Vol dans / sur véhicule à moteur;2018-03-26;jour;23;1;1;434
