CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol de véhicule à moteur;2018-03-22;jour;46;45.6185938895108;-73.588551531508;572
Introduction;2018-03-23;jour;46;45.6160157321684;-73.5692368058392;573
Vol de véhicule à moteur;2018-03-23;jour;46;45.6160157321684;-73.5692368058392;574
Vol dans / sur véhicule à moteur;2018-03-24;jour;46;45.6080109799491;-73.5943814165731;575
Méfait;2018-03-25;jour;46;45.6027421412903;-73.5547860573508;576
Méfait;2018-03-25;jour;46;45.606733057418;-73.5864188315587;577
Méfait;2018-03-26;jour;46;45.6122877475207;-73.5552453936352;578
Méfait;2018-03-26;jour;46;45.6108756094239;-73.5468393068301;579
Méfait;2018-03-26;jour;46;45.6019950825105;-73.5754019330619;580
