CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Vol de véhicule à moteur;2018-03-31;jour;42;45.5912304518118;-73.5713011945389
Vol dans / sur véhicule à moteur;2018-03-31;jour;44;45.5715008065943;-73.5778800002619
Vol dans / sur véhicule à moteur;2018-03-31;soir;45;45.6285872294871;-73.6163077190809
Introduction;2018-03-31;nuit;48;45.5776446069157;-73.5331357959463
Méfait;2018-03-31;jour;48;45.5776446069157;-73.5331357959463
Méfait;2018-03-31;soir;48;45.5726646996521;-73.5362063463489
Méfait;2018-03-31;jour;49;45.6620326347702;-73.497413744046
Méfait;2018-03-31;soir;49;45.6454200929407;-73.4893524747665
Méfait;2018-03-31;jour;49;45.6396578106148;-73.5040875452967
Introduction;2018-03-30;jour;1;45.4573808595275;-73.8683590161935
Méfait;2018-03-30;jour;1;45.4522638616021;-73.8741551071207
Méfait;2018-03-30;jour;3;45.5004230277924;-73.8434682584605
Vol dans / sur véhicule à moteur;2018-03-30;jour;3;45.5097405125479;-73.8226875853567
Méfait;2018-03-30;jour;4;45.4852014018311;-73.8036039880152
Vol de véhicule à moteur;2018-03-30;nuit;5;45.4556319202307;-73.7323160098665
Vol dans / sur véhicule à moteur;2018-03-30;jour;7;45.5312725210475;-73.6738792681034
Vol dans / sur véhicule à moteur;2018-03-30;jour;7;45.5198205878461;-73.670662756382
Vol dans / sur véhicule à moteur;2018-03-30;jour;7;45.5221183295084;-73.7040478156886
Vol dans / sur véhicule à moteur;2018-03-30;jour;7;45.5227931957954;-73.6807915226635
Vol de véhicule à moteur;2018-03-30;soir;7;45.5128462980696;-73.6846308153077
Introduction;2018-03-30;soir;8;45.4347469605898;-73.6863853266586
Introduction;2018-03-30;soir;8;45.44197588508;-73.6759180882757
Vol de véhicule à moteur;2018-03-30;soir;11;45.4737179258194;-73.6329604217606
Vols qualifiés;2018-03-30;soir;12;45.4950745411398;-73.5814121067585
Vol dans / sur véhicule à moteur;2018-03-30;jour;13;45.4374477909005;-73.6178654235096
Introduction;2018-03-30;soir;15;45.4815757570711;-73.5722138810993
Introduction;2018-03-30;jour;20;45.4927857175588;-73.5577933579124
Méfait;2018-03-30;jour;21;45.5005878737566;-73.5583509149269
Méfait;2018-03-30;soir;21;45.512773363861;-73.5491235058314
Introduction;2018-03-30;soir;23;45.5571799133696;-73.5319747490465
Introduction;2018-03-30;soir;23;45.5571799133696;-73.5319747490465
Méfait;2018-03-30;jour;23;45.54114436072;-73.5399326022735
Vol dans / sur véhicule à moteur;2018-03-30;soir;23;45.5468201845425;-73.5514181965384
Introduction;2018-03-30;jour;26;45.5055015663233;-73.6282686196144
Méfait;2018-03-30;soir;26;1;1
Vol de véhicule à moteur;2018-03-30;jour;26;45.4925351101922;-73.6272193203607
Vols qualifiés;2018-03-30;soir;26;45.4879431446461;-73.6392855745175
Introduction;2018-03-30;jour;30;45.567740131953;-73.6060236773903
Vol de véhicule à moteur;2018-03-30;soir;35;45.5401133064132;-73.5849348297717
Introduction;2018-03-30;jour;38;45.5229102794527;-73.5893858411936
Introduction;2018-03-30;nuit;38;45.5284917611746;-73.5891752748309
Vol dans / sur véhicule à moteur;2018-03-30;soir;38;45.518016384315;-73.5817032306943
Vol dans / sur véhicule à moteur;2018-03-30;soir;38;45.5224046006887;-73.5914157434076
Vols qualifiés;2018-03-30;nuit;38;45.5139102242156;-73.5726124697495
Introduction;2018-03-30;jour;39;45.6137042487452;-73.6338408946887
Méfait;2018-03-30;jour;39;45.6097196842573;-73.6273715726258
Vol dans / sur véhicule à moteur;2018-03-30;soir;39;45.6172022863707;-73.6147950267853
Vol de véhicule à moteur;2018-03-30;jour;42;45.5863923491875;-73.611117220957
Vol de véhicule à moteur;2018-03-30;soir;42;45.5824787426556;-73.6001319858669
Méfait;2018-03-30;soir;44;45.5547351493424;-73.5642296220381
Vol dans / sur véhicule à moteur;2018-03-30;soir;45;45.6173747278209;-73.606364369983
Vol dans / sur véhicule à moteur;2018-03-30;jour;45;45.6606313516307;-73.5659253226841
Vol dans / sur véhicule à moteur;2018-03-30;jour;45;45.6169342164969;-73.5939804124454
Vol de véhicule à moteur;2018-03-30;jour;45;45.6270396754323;-73.5791986790322
Méfait;2018-03-30;jour;46;45.6058115799984;-73.5764879300095
Vol dans / sur véhicule à moteur;2018-03-30;soir;46;45.5992132647212;-73.5579331413385
Introduction;2018-03-30;jour;48;45.5929588283049;-73.5131772707605
Introduction;2018-03-30;jour;48;45.6014456568203;-73.5170502718273
Méfait;2018-03-30;nuit;48;45.5715514351435;-73.5501796121864
Méfait;2018-03-30;jour;48;1;1
Méfait;2018-03-30;nuit;48;45.5895471745482;-73.5171533635212
Vol dans / sur véhicule à moteur;2018-03-30;jour;48;45.6092209338235;-73.5111513085973
Vol de véhicule à moteur;2018-03-30;jour;48;45.6014456568203;-73.5170502718273
Introduction;2018-03-30;jour;49;45.6520946505238;-73.4894384188761
Méfait;2018-03-30;jour;49;45.6426096259665;-73.4977499949346
Vols qualifiés;2018-03-30;soir;50;45.5153162602069;-73.5611000342012
Méfait;2018-03-29;soir;1;45.4398882699525;-73.886046471441
Vol dans / sur véhicule à moteur;2018-03-29;soir;1;45.4032720217711;-73.9503769320627
Vol dans / sur véhicule à moteur;2018-03-29;soir;1;45.4032720217711;-73.9503769320627
Vol dans / sur véhicule à moteur;2018-03-29;soir;1;45.4032720217711;-73.9503769320627
Introduction;2018-03-29;jour;4;45.498851160727;-73.8222477295171
Méfait;2018-03-29;soir;5;45.4493724610712;-73.8181293189703
Introduction;2018-03-29;soir;7;45.5114922779152;-73.6784832122982
Introduction;2018-03-29;jour;7;45.5241962608481;-73.7184727204438
Méfait;2018-03-29;jour;7;45.5114922779152;-73.6784832122982
Méfait;2018-03-29;jour;7;45.5243955909579;-73.6719706309259
Vol dans / sur véhicule à moteur;2018-03-29;soir;7;45.5226579647258;-73.6593236443824
Vol de véhicule à moteur;2018-03-29;jour;7;45.5283965303705;-73.6678436331276
Méfait;2018-03-29;jour;8;45.4446282925148;-73.6465887169856
Vol dans / sur véhicule à moteur;2018-03-29;soir;8;45.4483354062285;-73.6490760972355
Vol dans / sur véhicule à moteur;2018-03-29;jour;8;45.4400938227236;-73.6738742651791
Introduction;2018-03-29;jour;9;45.4672562147026;-73.6675910979032
Méfait;2018-03-29;soir;9;45.4782543663982;-73.6594350390405
Vol dans / sur véhicule à moteur;2018-03-29;soir;10;45.5317289776583;-73.6512725600283
Méfait;2018-03-29;jour;11;45.4753213353015;-73.6315240197586
Méfait;2018-03-29;jour;11;45.473166356565;-73.645805638972
Méfait;2018-03-29;jour;11;45.4772390981345;-73.6153179285682
Vol dans / sur véhicule à moteur;2018-03-29;soir;12;45.4944304771922;-73.5785333909326
