CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-24;nuit;44;45.5459541477422;-73.5560263894875;888
Méfait;2018-03-24;jour;44;45.5415234775257;-73.5652654167197;889
Vol de véhicule à moteur;2018-03-24;soir;44;45.5625350370873;-73.5723171181388;890
Vol dans / sur véhicule à moteur;2018-03-23;jour;44;45.5793672998664;-73.5749282928432;891
Vol dans / sur véhicule à moteur;2018-03-23;nuit;44;45.5761577165387;-73.5727179201093;892
Vol de véhicule à moteur;2018-03-22;jour;44;45.5780874845718;-73.5711478118183;893
Méfait;2018-03-21;soir;44;45.5449360009614;-73.572897407493;894
