CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;nuit;39;45.5811082505522;-73.6410891805176;858
Introduction;2018-03-25;jour;39;45.5906260983131;-73.6277967417686;859
Méfait;2018-03-25;jour;39;45.6043132622108;-73.6187363509765;860
Vol dans / sur véhicule à moteur;2018-03-24;soir;39;45.5852684753609;-73.6346293362474;861
Vol de véhicule à moteur;2018-03-24;jour;39;45.5964861702234;-73.6216735326767;862
Vol de véhicule à moteur;2018-03-24;jour;39;45.5826743980832;-73.6395496063943;863
Introduction;2018-03-23;soir;39;45.6082482733319;-73.6203900814964;864
Introduction;2018-03-23;jour;39;45.6055067986602;-73.6236502228956;865
Méfait;2018-03-23;soir;39;1;1;866
Vols qualifiés;2018-03-23;soir;39;45.588228397483;-73.6346260056554;867
Vols qualifiés;2018-03-23;soir;39;45.588228397483;-73.6346260056554;868
Introduction;2018-03-22;jour;39;45.6037165906043;-73.6334866456867;869
Introduction;2018-03-22;soir;39;45.5867185410152;-73.6361791785137;870
Méfait;2018-03-22;nuit;39;45.6028572882727;-73.6373008660932;871
Introduction;2018-03-21;jour;39;1;1;872
Vol de véhicule à moteur;2018-03-21;jour;39;45.6256785939529;-73.6177058890231;873
Vol de véhicule à moteur;2018-03-21;soir;39;45.6059976472756;-73.6248644781605;874
