CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-24;soir;7;45.5196233706959;-73.6757949192402;672
Introduction;2018-03-24;nuit;7;45.5066011122587;-73.7008095412479;673
Introduction;2018-03-23;soir;7;45.5064113890768;-73.6927124257345;674
Vol dans / sur véhicule à moteur;2018-03-23;soir;7;45.490240950234;-73.691815373559;675
Vol de véhicule à moteur;2018-03-23;jour;7;45.5139309955587;-73.6593425724487;676
Méfait;2018-03-22;jour;7;45.5198503183266;-73.7337794735569;677
Méfait;2018-03-22;soir;7;45.4875057075347;-73.7166720560858;678
Méfait;2018-03-22;soir;7;45.4875057075347;-73.7166720560858;679
Vol de véhicule à moteur;2018-03-22;jour;7;45.4925997586742;-73.7014739236836;680
Vol de véhicule à moteur;2018-03-22;jour;7;45.4937608373019;-73.7086875453828;681
Introduction;2018-03-21;jour;7;45.5099864913274;-73.6743169623091;682
Méfait;2018-03-21;nuit;7;45.5306417751471;-73.6773180162943;683
Vol de véhicule à moteur;2018-03-21;jour;7;45.490240950234;-73.691815373559;684
Vol de véhicule à moteur;2018-03-21;soir;7;45.4963773786195;-73.7008256595816;685
