CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;jour;30;45.581990137451;-73.6261990445441;815
Méfait;2018-03-25;soir;30;45.5676192426368;-73.5939394181199;816
Vol dans / sur véhicule à moteur;2018-03-25;soir;30;45.5692763405707;-73.597702508835;817
Vol de véhicule à moteur;2018-03-25;jour;30;45.5584904095701;-73.5957215957557;818
Introduction;2018-03-24;nuit;30;45.5814336553317;-73.6228606977573;819
Méfait;2018-03-24;jour;30;45.5814336553317;-73.6228606977573;820
Vol dans / sur véhicule à moteur;2018-03-24;soir;30;45.5644905177397;-73.596642573284;821
Vol dans / sur véhicule à moteur;2018-03-23;nuit;30;45.5654500797235;-73.592359431203;822
Vol de véhicule à moteur;2018-03-23;jour;30;45.582009838466;-73.6241990770258;823
Vol dans / sur véhicule à moteur;2018-03-22;jour;30;45.5611869149408;-73.6038201541119;824
Vol de véhicule à moteur;2018-03-22;soir;30;45.574012305406;-73.6335523637694;825
Méfait;2018-03-21;soir;30;45.5710647685554;-73.6280048313913;826
Méfait;2018-03-21;soir;30;45.5751891735962;-73.628487318947;827
Vol dans / sur véhicule à moteur;2018-03-21;jour;30;45.5552299794745;-73.5978628239426;828
Vol de véhicule à moteur;2018-03-21;nuit;30;45.5600763812602;-73.5915885897533;829
