CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;jour;27;45.5460889315987;-73.6604224843987;804
Méfait;2018-03-25;jour;27;45.5503066806674;-73.6708169826646;805
Introduction;2018-03-24;soir;27;45.5554259005795;-73.6373891973335;806
Introduction;2018-03-23;jour;27;45.5523442801633;-73.6739101914563;807
Méfait;2018-03-23;jour;27;45.5715535807688;-73.6401519701413;808
Méfait;2018-03-23;jour;27;45.558451913074;-73.6327821608615;809
Introduction;2018-03-22;jour;27;45.5720045463333;-73.6574328377394;810
Méfait;2018-03-22;jour;27;45.5713154786833;-73.6470995189936;811
Vol dans / sur véhicule à moteur;2018-03-22;jour;27;45.5532212176549;-73.6495182958912;812
Introduction;2018-03-21;soir;27;45.5782329947817;-73.6452030968805;813
Vol de véhicule à moteur;2018-03-21;jour;27;45.5512433711736;-73.6397970090325;814
