CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-25;jour;8;45.4459426566505;-73.6769395321579;686
Méfait;2018-03-25;jour;8;1;1;687
Méfait;2018-03-25;jour;8;45.4348956586579;-73.6688832411123;688
Introduction;2018-03-23;soir;8;45.4385910864403;-73.6934504387016;689
Introduction;2018-03-22;jour;8;45.4419825757744;-73.6684957319394;690
Méfait;2018-03-22;jour;8;1;1;691
Méfait;2018-03-22;jour;8;45.4419729965479;-73.6748691019431;692
Vol de véhicule à moteur;2018-03-22;soir;8;45.45623636068;-73.7198721352281;693
Introduction;2018-03-21;soir;8;45.4460237152977;-73.6826113315798;694
Méfait;2018-03-21;jour;8;45.4481453764173;-73.6752648959578;695
Vol dans / sur véhicule à moteur;2018-03-21;jour;8;45.4449559323779;-73.6749182658324;696
