CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;soir;35;45.5319379377685;-73.6122690474386;840
Introduction;2018-03-25;nuit;35;45.54296547012;-73.6017355106772;841
Vol dans / sur véhicule à moteur;2018-03-24;jour;35;45.5361264000433;-73.6030713681144;842
Introduction;2018-03-23;soir;35;45.5458950682346;-73.5989900588312;843
Vol de véhicule à moteur;2018-03-22;jour;35;45.5499058562515;-73.5955840227338;844
Méfait;2018-03-21;soir;35;45.5341309011185;-73.5956866247993;845
Vol dans / sur véhicule à moteur;2018-03-21;nuit;35;45.5411657594633;-73.5960615206512;846
Vol de véhicule à moteur;2018-03-21;jour;35;45.5384733516099;-73.5964304714051;847
