CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;nuit;12;45.4918848180234;-73.5815368842415;711
Vol dans / sur véhicule à moteur;2018-03-25;jour;12;45.4868530669493;-73.6143860082852;712
Vol dans / sur véhicule à moteur;2018-03-24;soir;12;45.4933042967883;-73.5783864306028;713
Vol de véhicule à moteur;2018-03-24;jour;12;1;1;714
Méfait;2018-03-23;jour;12;45.4780272790423;-73.5973101921349;715
Introduction;2018-03-21;jour;12;45.4944304771922;-73.5785333909326;716
Vol dans / sur véhicule à moteur;2018-03-21;jour;12;45.4944304771922;-73.5785333909326;717
