CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;jour;49;45.6515560875945;-73.5023094852972;925
Vol dans / sur véhicule à moteur;2018-03-24;jour;49;45.6350960394313;-73.5028680349153;926
Introduction;2018-03-23;nuit;49;1;1;927
Méfait;2018-03-23;jour;49;45.6454200929407;-73.4893524747665;928
Méfait;2018-03-23;soir;49;45.6315900969574;-73.504066566049;929
Vol de véhicule à moteur;2018-03-23;nuit;49;45.639267587816;-73.5102228205619;930
Introduction;2018-03-22;jour;49;45.6380095914874;-73.4937627673995;931
Méfait;2018-03-22;soir;49;45.6633677310282;-73.505586577138;932
Méfait;2018-03-22;soir;49;45.6454200929407;-73.4893524747665;933
Méfait;2018-03-22;soir;49;45.6505097519778;-73.4963693017676;934
Vol de véhicule à moteur;2018-03-22;nuit;49;45.6329187858315;-73.4942958838582;935
Vol de véhicule à moteur;2018-03-21;soir;49;45.6419333338949;-73.5020147483055;936
