CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;soir;38;45.5223090783303;-73.5811142522048;848
Méfait;2018-03-25;jour;38;45.5157631305366;-73.580483985145;849
Méfait;2018-03-25;nuit;38;1;1;850
Introduction;2018-03-24;jour;38;45.5205762143154;-73.5844745250904;851
Méfait;2018-03-24;nuit;38;45.5284917611746;-73.5891752748309;852
Vol dans / sur véhicule à moteur;2018-03-24;soir;38;45.5133385750919;-73.5730046477873;853
Introduction;2018-03-23;jour;38;45.518016384315;-73.5817032306943;854
Introduction;2018-03-23;soir;38;45.5212089782162;-73.5924838666852;855
Vol dans / sur véhicule à moteur;2018-03-21;soir;38;45.5356946737396;-73.5805728344496;856
Vol de véhicule à moteur;2018-03-21;jour;38;45.5363834987337;-73.5799336254562;857
