CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-24;soir;5;45.4823966108073;-73.7875327575117;937
Vol dans / sur véhicule à moteur;2018-03-24;soir;5;45.4625627564722;-73.8292167425863;938
Vol de véhicule à moteur;2018-03-24;jour;5;45.4495499522697;-73.7425034542873;939
Méfait;2018-03-23;jour;5;45.4459726839572;-73.7239295068569;940
Méfait;2018-03-23;jour;5;45.4663927646669;-73.8279130981457;941
Méfait;2018-03-23;jour;5;45.4349255759012;-73.8109993424607;942
Vol dans / sur véhicule à moteur;2018-03-23;soir;5;45.4827987784001;-73.7882542749925;943
Vol dans / sur véhicule à moteur;2018-03-23;soir;5;45.4700039122407;-73.7128703212388;944
Vol de véhicule à moteur;2018-03-23;soir;5;45.4556319202307;-73.7323160098665;945
Méfait;2018-03-21;jour;5;45.465085409848;-73.7846117312399;946
Vol dans / sur véhicule à moteur;2018-03-21;jour;5;45.4292049401491;-73.8246755273673;947
Vol de véhicule à moteur;2018-03-21;soir;5;45.4562394884345;-73.7472848607821;948
Vol de véhicule à moteur;2018-03-23;soir;55;45.4562394884345;-73.7472848607821;949
