CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-25;nuit;21;45.506205187534;-73.564030554495;950
Vol dans / sur véhicule à moteur;2018-03-25;jour;21;45.5042285538657;-73.55820039748;951
Vol dans / sur véhicule à moteur;2018-03-25;jour;21;45.5064886456848;-73.556366116911;952
Vol dans / sur véhicule à moteur;2018-03-25;jour;21;45.5077228270169;-73.5523911555771;953
Vol dans / sur véhicule à moteur;2018-03-25;jour;21;45.5077228270169;-73.5523911555771;954
Introduction;2018-03-24;jour;21;1;1;955
Introduction;2018-03-24;soir;21;45.5207802730852;-73.565719377572;956
Méfait;2018-03-24;soir;21;45.5042285538657;-73.55820039748;957
Vol dans / sur véhicule à moteur;2018-03-24;soir;21;45.5064886456848;-73.556366116911;958
Vol dans / sur véhicule à moteur;2018-03-24;soir;21;45.513440400166;-73.5627543624789;959
Vol dans / sur véhicule à moteur;2018-03-24;jour;21;45.5086304194252;-73.551952418003;960
Méfait;2018-03-23;jour;21;45.5136269541166;-73.5574729541403;961
Vol dans / sur véhicule à moteur;2018-03-23;nuit;21;45.5078164881533;-73.570147590901;962
Introduction;2018-03-22;jour;21;45.506205187534;-73.564030554495;963
Introduction;2018-03-22;jour;21;45.5109868727448;-73.5544234523556;964
Introduction;2018-03-21;jour;21;1;1;965
Introduction;2018-03-21;jour;21;45.5150357186545;-73.5633107920424;966
Introduction;2018-03-21;nuit;21;45.5159078651562;-73.5652413156732;967
Vol dans / sur véhicule à moteur;2018-03-21;nuit;21;45.515813358143;-73.5568857138268;968
Vol dans / sur véhicule à moteur;2018-03-21;jour;21;45.5098706673471;-73.5638225691963;969
Vol dans / sur véhicule à moteur;2018-03-21;jour;21;45.5148344731593;-73.5528427063066;970
Vol dans / sur véhicule à moteur;2018-03-21;soir;21;45.5090880325931;-73.5533417462875;971
Vol dans / sur véhicule à moteur;2018-03-21;soir;21;45.5020800241862;-73.5556573816061;972
Méfait;2018-03-23;nuit;50;45.4511673878779;-73.5932620883023;973
Méfait;2018-03-23;nuit;50;45.5012674923347;-73.5603542659313;974
