CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol dans / sur véhicule à moteur;2018-03-31;jour;44;45.5715008065943;-73.5778800002619;203
Méfait;2018-03-30;soir;44;45.5547351493424;-73.5642296220381;204
Méfait;2018-03-29;jour;44;45.5489733443648;-73.5915674565396;205
Vol dans / sur véhicule à moteur;2018-03-29;jour;44;45.5549079956758;-73.5912032064041;206
Vol dans / sur véhicule à moteur;2018-03-29;jour;44;45.545615754786;-73.5800876412149;207
Vol de véhicule à moteur;2018-03-29;nuit;44;45.5609271480878;-73.5859600374287;208
Vol de véhicule à moteur;2018-03-29;jour;44;45.5559549908292;-73.5636051982461;209
Introduction;2018-03-28;nuit;44;45.54738556943;-73.5881775297542;210
Vols qualifiés;2018-03-28;soir;44;45.5532910486132;-73.5803421493543;211
Méfait;2018-03-27;jour;44;45.5466968597724;-73.5837193070071;212
Vol dans / sur véhicule à moteur;2018-03-27;nuit;44;45.5563825335523;-73.5544167642413;213
