CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;soir;5;45.4822248141756;-73.7980187130588;255
Méfait;2018-03-31;soir;5;45.4389758704803;-73.7396752942032;256
Vol de véhicule à moteur;2018-03-30;nuit;5;45.4556319202307;-73.7323160098665;257
Méfait;2018-03-29;soir;5;45.4493724610712;-73.8181293189703;258
Méfait;2018-03-28;soir;5;45.4542508230156;-73.7359877037905;259
Méfait;2018-03-28;soir;5;1;1;260
Méfait;2018-03-28;jour;5;45.4562394884345;-73.7472848607821;261
Vol dans / sur véhicule à moteur;2018-03-28;soir;5;45.4437936711129;-73.7408658383188;262
Vol de véhicule à moteur;2018-03-28;jour;5;45.4604937913911;-73.7251949502819;263
Vols qualifiés;2018-03-28;soir;5;45.4625627564722;-73.8292167425863;264
Méfait;2018-03-27;jour;5;45.4562394884345;-73.7472848607821;265
