CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-31;jour;35;45.539251347643;-73.6099890897087;155
Méfait;2018-03-31;jour;35;45.5335047092301;-73.6157137479969;156
Vol de véhicule à moteur;2018-03-30;soir;35;45.5401133064132;-73.5849348297717;157
Introduction;2018-03-29;soir;35;45.5314143902812;-73.602919546732;158
Méfait;2018-03-29;soir;35;45.5419614633873;-73.5977633022666;159
Méfait;2018-03-29;soir;35;45.5424351091911;-73.589784639405;160
Méfait;2018-03-29;jour;35;45.541810921404;-73.5903300626858;161
Méfait;2018-03-29;jour;35;45.5406786724429;-73.591305995139;162
Méfait;2018-03-29;jour;35;45.5424828363293;-73.5881326908681;163
Méfait;2018-03-28;soir;35;45.5386075264032;-73.6057059826373;164
Introduction;2018-03-27;jour;35;45.539733928662;-73.5878582388589;165
