CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol dans / sur véhicule à moteur;2018-03-31;soir;45;45.6285872294871;-73.6163077190809;214
Vol dans / sur véhicule à moteur;2018-03-30;soir;45;45.6173747278209;-73.606364369983;215
Vol dans / sur véhicule à moteur;2018-03-30;jour;45;45.6606313516307;-73.5659253226841;216
Vol dans / sur véhicule à moteur;2018-03-30;jour;45;45.6169342164969;-73.5939804124454;217
Vol de véhicule à moteur;2018-03-30;jour;45;45.6270396754323;-73.5791986790322;218
Méfait;2018-03-29;jour;45;45.6169342164969;-73.5939804124454;219
Méfait;2018-03-29;jour;45;45.6342480889508;-73.5857366523638;220
Méfait;2018-03-29;jour;45;45.6398177989269;-73.5800547103382;221
Vol dans / sur véhicule à moteur;2018-03-28;soir;45;45.6169342164969;-73.5939804124454;222
Vol dans / sur véhicule à moteur;2018-03-27;jour;45;45.6345953111101;-73.5760417496969;223
