CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-31;jour;26;45.4953928591904;-73.6272795186648;107
Introduction;2018-03-30;jour;26;45.5055015663233;-73.6282686196144;108
Méfait;2018-03-30;soir;26;1;1;109
Vol de véhicule à moteur;2018-03-30;jour;26;45.4925351101922;-73.6272193203607;110
Vols qualifiés;2018-03-30;soir;26;45.4879431446461;-73.6392855745175;111
Introduction;2018-03-29;jour;26;45.507043733916;-73.6264775598123;112
Méfait;2018-03-29;jour;26;45.4910780054969;-73.6452619626816;113
Méfait;2018-03-29;jour;26;45.48716521888;-73.6376078819947;114
Méfait;2018-03-29;jour;26;45.4896796921026;-73.6421353142831;115
Méfait;2018-03-29;jour;26;45.4926955633223;-73.6391198842448;116
Méfait;2018-03-29;soir;26;45.4892826277176;-73.6314568480458;117
Vol de véhicule à moteur;2018-03-29;nuit;26;45.4907365938949;-73.6455034755285;118
Méfait;2018-03-28;jour;26;45.5054732070729;-73.6212877471566;119
