CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;nuit;13;45.4306422679592;-73.6472664474696;53
Introduction;2018-03-31;jour;13;45.4183110198028;-73.6191720214225;54
Méfait;2018-03-31;jour;13;45.4334314863186;-73.5971002302445;55
Vol dans / sur véhicule à moteur;2018-03-31;soir;13;45.4288766413714;-73.60911993585;56
Vol dans / sur véhicule à moteur;2018-03-30;jour;13;45.4374477909005;-73.6178654235096;57
Introduction;2018-03-29;jour;13;45.4306422679592;-73.6472664474696;58
Vol dans / sur véhicule à moteur;2018-03-29;soir;13;45.4474160988679;-73.610239743791;59
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042;60
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042;61
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042;62
