CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-31;jour;21;45.5169098979196;-73.5674619666346;266
Vol dans / sur véhicule à moteur;2018-03-31;jour;21;45.5086304194252;-73.551952418003;267
Vol dans / sur véhicule à moteur;2018-03-31;soir;21;45.5058185848764;-73.5536419388608;268
Méfait;2018-03-30;jour;21;45.5005878737566;-73.5583509149269;269
Méfait;2018-03-30;soir;21;45.512773363861;-73.5491235058314;270
Vol dans / sur véhicule à moteur;2018-03-29;soir;21;45.5053616716024;-73.5531998136427;271
Méfait;2018-03-28;soir;21;45.5077464750186;-73.5626485209305;272
Méfait;2018-03-28;jour;21;45.5150207923933;-73.5661961912092;273
Méfait;2018-03-27;jour;21;45.5068013397909;-73.566507285228;274
Vol dans / sur véhicule à moteur;2018-03-27;jour;21;45.5098706673471;-73.5638225691963;275
Vol dans / sur véhicule à moteur;2018-03-27;soir;21;45.5061990813526;-73.5556216666139;276
