CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;nuit;48;45.5776446069157;-73.5331357959463;232
Méfait;2018-03-31;jour;48;45.5776446069157;-73.5331357959463;233
Méfait;2018-03-31;soir;48;45.5726646996521;-73.5362063463489;234
Introduction;2018-03-30;jour;48;45.5929588283049;-73.5131772707605;235
Introduction;2018-03-30;jour;48;45.6014456568203;-73.5170502718273;236
Méfait;2018-03-30;nuit;48;45.5715514351435;-73.5501796121864;237
Méfait;2018-03-30;jour;48;1;1;238
Méfait;2018-03-30;nuit;48;45.5895471745482;-73.5171533635212;239
Vol dans / sur véhicule à moteur;2018-03-30;jour;48;45.6092209338235;-73.5111513085973;240
Vol de véhicule à moteur;2018-03-30;jour;48;45.6014456568203;-73.5170502718273;241
Méfait;2018-03-29;soir;48;45.5882767746823;-73.5575577256984;242
Vol de véhicule à moteur;2018-03-28;nuit;48;45.5853070180952;-73.5368860036792;243
Méfait;2018-03-27;jour;48;45.5827675534282;-73.5430334137262;244
Vol dans / sur véhicule à moteur;2018-03-27;soir;48;45.5898905456755;-73.5390186091298;245
