CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-31;jour;49;45.6620326347702;-73.497413744046;246
Méfait;2018-03-31;soir;49;45.6454200929407;-73.4893524747665;247
Méfait;2018-03-31;jour;49;45.6396578106148;-73.5040875452967;248
Introduction;2018-03-30;jour;49;45.6520946505238;-73.4894384188761;249
Méfait;2018-03-30;jour;49;45.6426096259665;-73.4977499949346;250
Introduction;2018-03-29;jour;49;45.6380095914874;-73.4937627673995;251
Vol dans / sur véhicule à moteur;2018-03-28;jour;49;45.6354678714311;-73.495210268707;252
Introduction;2018-03-27;soir;49;45.6685430530127;-73.4957897753265;253
Méfait;2018-03-27;jour;49;45.6400032046037;-73.4902325314333;254
