CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Vol de véhicule à moteur;2018-03-31;jour;42;45.5912304518118;-73.5713011945389;196
Vol de véhicule à moteur;2018-03-30;jour;42;45.5863923491875;-73.611117220957;197
Vol de véhicule à moteur;2018-03-30;soir;42;45.5824787426556;-73.6001319858669;198
Introduction;2018-03-29;soir;42;45.5851970768058;-73.6068166938801;199
Vol dans / sur véhicule à moteur;2018-03-29;jour;42;45.5863923491875;-73.611117220957;200
Vol dans / sur véhicule à moteur;2018-03-28;soir;42;45.572122596432;-73.5937555107441;201
Vol de véhicule à moteur;2018-03-27;soir;42;45.5879262382771;-73.6109285996731;202
