CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-30;jour;39;45.6137042487452;-73.6338408946887;184
Méfait;2018-03-30;jour;39;45.6097196842573;-73.6273715726258;185
Vol dans / sur véhicule à moteur;2018-03-30;soir;39;45.6172022863707;-73.6147950267853;186
Introduction;2018-03-29;nuit;39;45.5957083990394;-73.6332505531256;187
Introduction;2018-03-28;jour;39;45.6194165195902;-73.6202632842355;188
Introduction;2018-03-28;jour;39;45.5965065171191;-73.6317243189822;189
Vol dans / sur véhicule à moteur;2018-03-28;jour;39;45.6149702596654;-73.6112307301328;190
Introduction;2018-03-27;nuit;39;45.613879319565;-73.6178634254007;191
Introduction;2018-03-27;nuit;39;45.614951182175;-73.6190354714133;192
Introduction;2018-03-27;jour;39;45.6008658778419;-73.6284446072412;193
Introduction;2018-03-27;soir;39;45.5996332083284;-73.6238695021831;194
Méfait;2018-03-27;jour;39;45.5883946131412;-73.631677712793;195
