CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;jour;16;1;1;68
Méfait;2018-03-29;jour;16;45.4532528369002;-73.5765846738422;69
Méfait;2018-03-29;jour;16;45.4568537478907;-73.5501095165097;70
Méfait;2018-03-29;nuit;16;45.4660611506056;-73.5636336074868;71
Méfait;2018-03-29;jour;16;45.4629257982309;-73.5702499898766;72
Vol de véhicule à moteur;2018-03-29;jour;16;45.4578750212313;-73.5553400697699;73
Vol dans / sur véhicule à moteur;2018-03-28;jour;16;45.4487803270875;-73.5769549646998;74
