CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Méfait;2018-03-31;nuit;20;45.4993966764428;-73.5580555234855;75
Introduction;2018-03-30;jour;20;45.4927857175588;-73.5577933579124;76
Méfait;2018-03-29;soir;20;45.5032359622469;-73.5668817385197;77
Vol dans / sur véhicule à moteur;2018-03-29;soir;20;45.5002049622656;-73.5856730658368;78
Vol dans / sur véhicule à moteur;2018-03-29;nuit;20;45.505373642249;-73.5677447968167;79
Vol dans / sur véhicule à moteur;2018-03-29;soir;20;1;1;80
Introduction;2018-03-28;soir;20;45.5033822921352;-73.5684356913166;81
Vol dans / sur véhicule à moteur;2018-03-28;soir;20;1;1;82
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.4941925109642;-73.575914719533;83
Vol dans / sur véhicule à moteur;2018-03-28;soir;20;1;1;84
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.498053635593;-73.5774807062329;85
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.500011818806;-73.5729192723381;86
Vol dans / sur véhicule à moteur;2018-03-28;jour;20;45.497441063919;-73.5568028259788;87
