CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;nuit;27;45.5669735920352;-73.6504612873729;120
Vol dans / sur véhicule à moteur;2018-03-31;jour;27;45.5481158042056;-73.6416588534345;121
Vol de véhicule à moteur;2018-03-31;jour;27;45.5705854468285;-73.6516465878862;122
Vol de véhicule à moteur;2018-03-31;jour;27;45.5480017135734;-73.6389779473871;123
Vol dans / sur véhicule à moteur;2018-03-29;jour;27;45.5748677270045;-73.6520210118249;124
Vol dans / sur véhicule à moteur;2018-03-29;soir;27;45.5730749117244;-73.6416307487285;125
Méfait;2018-03-28;soir;27;45.5609952562458;-73.6651532521257;126
Vol dans / sur véhicule à moteur;2018-03-28;jour;27;45.5512433711736;-73.6397970090325;127
Vol de véhicule à moteur;2018-03-28;nuit;27;45.5715535807688;-73.6401519701413;128
Méfait;2018-03-27;jour;27;45.5503066806674;-73.6708169826646;129
Vol de véhicule à moteur;2018-03-27;nuit;27;45.5561358823097;-73.656708191681;130
